184,R Shawcross,STO,3,7,3.6,1,6,2,0,1,6,0,0
185,W Brown,SUN,3,0,3.4,0,0,0,0,0,0,0,0
186,C Cuellar,SUN,3,-2,3.5,-2,3,0,0,0,1,0,0
187,M Diakite,SUN,3,-6,3.5,-4,10,0,0,0,4,0,0
188,V Roberge,SUN,3,-2,3.3,-2,4,0,0,0,2,0,0
189,J Amat,SWA,3,-1,3.3,-1,2,0,0,0,1,0,0
190,Chico,SWA,3,1,3.5,4,9,2,0,0,6,0,0
191,G Monk,SWA,3,0,3.2,0,0,0,0,0,0,0,0
192,A Williams,SWA,3,2,3.6,5,7,2,0,0,5,0,0
193,V Chiriches,TOT,3,0,4.1,0,0,0,0,0,0,0,0
194,M Dawson,TOT,3,12,4.2,6,2,4,0,0,6,0,0
195,Y Kaboul,TOT,3,0,4.2,0,0,0,0,0,0,0,0
196,J Vertonghen,TOT,3,12,4.5,6,2,4,0,0,6,0,0
197,C Dawson,WBA,3,0,3.2,0,0,0,0,0,0,0,0
198,D Lugano,WBA,3,0,3.4,0,0,0,0,0,0,0,0
199,G McAuley,WBA,3,8,3.5,5,5,2,0,1,6,0,0
200,J Olsson,WBA,3,5,3.3,2,5,2,0,0,6,0,0
201,G Tamas,WBA,3,0,3.1,0,0,0,0,0,0,0,0
202,J Collins,WH,3,7,3.5,1,4,3,0,0,5,0,0
203,M Arteta,ARS,4,0,4.1,0,0,0,0,0,0,0,0
204,S Cazorla,ARS,4,2,5.4,0,0,0,1,0,3,0,0
205,A Chamberlain,ARS,4,2,4,0,0,0,1,0,1,0,0
206,A Diaby,ARS,4,0,3.7,0,0,0,0,0,0,0,0
207,M Flamini,ARS,4,0,3.7,0,0,0,0,0,4,0,0
208,E Frimpong,ARS,4,0,3.5,0,0,0,0,0,0,0,0
209,S Gnabry,ARS,4,3,3.8,3,0,0,0,1,1,0,0
210,R Miyaichi,ARS,4,0,3.9,0,0,0,0,0,0,0,0
211,M Ozil,ARS,4,8,5.5,8,0,0,4,0,3,0,0
212,A Ramsey,ARS,4,16,3.9,14,0,0,2,4,6,0,0
213,T Rosicky,ARS,4,0,3.9,0,0,0,0,0,3,0,0
214,T Walcott,ARS,4,4,5.6,2,0,0,2,0,4,0,0
215,J Wilshere,ARS,4,0,4,0,0,0,0,0,4,0,0
216,M Albrighton,AV,4,0,3.7,0,0,0,0,0,0,0,0
217,L Bacuna,AV,4,5,3.7,5,0,0,1,1,3,0,0
218,F Delph,AV,4,0,3.5,0,0,0,0,0,6,0,0
219,K El Ahmadi,AV,4,3,3.6,3,0,0,0,1,5,0,0
220,G Gardner,AV,4,0,3.5,0,0,0,0,0,0,0,0
221,C Herd,AV,4,0,3.4,0,0,0,0,0,0,0,0
